game_id,week,home_team,away_team,went_ot,home_shots,away_shots,home_xg,away_xg,home_max_xg,away_max_xg,home_goals,away_goals,home_assists,away_assists,home_penalties_committed,away_penalties_committed,home_penalties_drawn,away_penalties_drawn,home_penalty_minutes,away_penalty_minutes,home_pp_opportunities,away_pp_opportunities,home_pp_minutes,away_pp_minutes,home_pp_goals,away_pp_goals,home_pp_xg,away_pp_xg
18,2,Slovenia,Germany,0,31,22,3.5978,2.211,0.1449,0.1523,4,3,6,5,5,5,5,5,10,10,5,5,10,10,2,1,1.9223,0.4546
19,2,Switzerland,Canada,1,28,26,3.1115,2.6092,0.1628,0.1546,3,2,6,4,5,4,4,5,10,8,4,5,8,10,2,0,0.645,0.8727
20,2,Denmark,Japan,0,27,26,2.9139,3.0934,0.1553,0.2379,5,4,7,7,4,7,7,4,8,14,7,4,14,8,1,0,0.8915,0.4253
21,2,Russia,Finland,0,27,29,3.1109,2.8301,0.1489,0.22,5,1,7,1,4,6,6,4,8,12,6,4,12,8,2,0,1.3118,0.5205
22,2,Belarus,Slovakia,0,28,24,3.0645,2.0285,0.2214,0.1204,2,1,4,1,4,5,5,4,8,10,5,4,10,8,1,0,0.6501,1.1521
23,2,Netherlands,Romania,0,25,28,2.4256,3.075,0.1524,0.2035,4,3,4,3,8,7,7,8,16,14,7,8,14,16,1,1,0.549,1.5143
24,2,Poland,Hungary,0,21,26,2.3993,3.5362,0.1538,0.2279,2,1,2,1,10,7,7,10,20,14,7,10,14,20,0,0,0,2.1115
25,2,France,South Korea,0,18,32,2.3157,3.3295,0.1662,0.1875,1,0,0,0,4,2,2,4,8,4,2,4,4,8,1,0,0.4987,0.9817
26,2,Austria,United States,0,27,25,3.1877,2.5611,0.232,0.2117,3,1,1,2,9,11,11,9,18,25,11,9,25,18,1,1,1.1261,1.058
27,2,Belgium,China,1,28,24,2.5223,2.4802,0.223,0.165,6,5,12,7,6,10,10,6,12,22,10,6,22,12,3,1,1.0257,0.165
28,2,Ukraine,Estonia,1,30,20,2.4529,1.9003,0.1243,0.2025,3,4,6,8,5,3,3,5,10,6,3,5,6,10,0,2,0.2234,0.8777
29,2,Lithuania,Spain,0,36,25,4.2118,2.5566,0.1617,0.2275,4,2,5,4,8,6,6,8,16,12,6,8,12,16,3,1,1.8772,0.9253
30,2,Sweden,Norway,0,32,22,4.0512,2.2328,0.232,0.2048,3,2,4,4,7,10,10,7,14,22,10,7,22,14,1,2,2.0138,0.8468
31,3,South Korea,Czech Republic,0,22,25,2.7761,2.9685,0.1681,0.1421,4,1,7,2,3,8,8,3,6,18,8,3,18,6,2,0,1.8013,0.2799
32,3,Finland,Hungary,0,39,16,5.3972,1.702,0.2448,0.1431,6,3,9,6,3,9,9,3,6,18,9,3,18,6,2,2,2.5997,0.5584
33,3,Poland,Belarus,0,28,23,3.0274,3.0988,0.1553,0.221,2,1,4,2,15,9,9,15,30,18,9,15,18,30,0,0,0.6877,1.3158
34,3,Japan,Switzerland,0,30,26,3.4536,2.6107,0.1658,0.1356,3,4,5,3,5,7,7,5,10,14,7,5,14,10,1,2,1.6749,1.0379
35,3,Croatia,China,1,43,57,4.2088,6.3128,0.2302,0.1618,4,5,7,10,9,5,5,9,18,10,5,9,10,18,2,2,1.0785,2.9336
36,3,Estonia,Kazakhstan,0,17,25,1.8014,2.4469,0.1413,0.1471,2,3,4,5,5,5,5,5,10,12,5,5,12,10,1,1,0.1221,0.4157
37,3,Norway,Russia,0,38,24,3.6105,2.8134,0.1552,0.2254,6,5,9,7,10,8,8,10,20,16,8,10,16,20,2,1,0.8612,0.8236
38,3,United States,Great Britain,0,20,21,2.4674,2.1664,0.2289,0.1525,2,4,4,8,4,6,6,4,8,12,6,4,12,8,1,1,1.1392,0.8869
39,3,Belgium,Romania,0,38,23,5.3913,2.3694,0.2262,0.1855,7,5,10,8,0,10,10,0,0,20,10,0,20,0,2,0,3.3705,0
40,3,Spain,Sweden,1,34,37,2.9815,4.5845,0.2263,0.1828,3,4,6,5,7,4,4,7,14,8,4,7,8,14,0,2,0.7151,2.2791
41,3,Lithuania,Latvia,0,30,28,3.1838,2.788,0.2229,0.2146,6,1,9,2,5,5,5,5,10,10,5,5,10,10,2,0,0.9568,0.2146
42,3,Germany,France,0,24,29,2.0889,4.9276,0.144,0.2614,1,7,2,12,11,5,5,11,22,10,5,11,10,22,1,6,0.3607,3.0988
43,3,Netherlands,Canada,1,28,33,2.8978,3.1845,0.2108,0.1521,2,1,2,2,3,7,7,3,6,16,7,3,16,6,0,0,0.9835,1.0167
44,3,Italy,Slovakia,0,26,25,2.8973,2.1706,0.1525,0.1954,3,2,4,3,7,5,5,7,14,10,5,7,10,14,2,0,1.467,0.7654
45,3,Austria,Ukraine,1,34,31,2.9989,2.1036,0.2285,0.1302,2,1,3,2,8,6,6,8,16,12,6,8,12,16,0,0,0.3733,0.5043
46,4,Great Britain,United States,0,23,22,2.9219,2.1125,0.1861,0.1428,1,2,2,3,3,4,4,3,6,8,4,3,8,6,1,1,0.6751,0.5174
47,4,China,Belarus,0,40,27,4.7666,2.7741,0.2068,0.2313,5,4,10,4,5,7,7,5,10,14,7,5,14,10,3,0,2.4369,0.9624
48,4,Switzerland,Poland,0,29,19,3.5814,1.7435,0.171,0.1064,5,1,8,1,1,10,10,1,2,22,10,1,22,2,1,0,1.6866,0
49,4,Japan,Croatia,0,21,30,2.3723,3.6208,0.1606,0.1851,5,3,9,5,9,5,5,9,18,10,5,9,10,18,0,2,0.7841,1.6765
50,4,Latvia,Lithuania,0,22,25,2.565,2.6427,0.1489,0.1516,2,4,3,5,5,6,6,5,10,12,6,5,12,10,0,2,1.1378,1.181
51,4,Slovenia,Ukraine,1,20,29,1.56,2.5818,0.1399,0.1335,3,2,6,4,7,6,6,7,14,12,6,7,12,14,0,2,0.1399,0.9241
52,4,Hungary,Finland,0,24,21,3.2662,2.545,0.2267,0.2107,2,1,3,2,4,12,12,4,8,24,12,4,24,8,2,1,2.1172,0.689
53,4,Norway,South Korea,1,26,26,2.9661,3.3045,0.1666,0.2324,3,4,5,6,11,7,7,11,22,14,7,11,14,22,0,2,0.8149,1.624
54,4,Denmark,Italy,0,32,22,3.7562,2.2807,0.2253,0.1422,5,2,9,4,6,5,5,6,12,10,5,6,10,12,0,1,0.8593,0.6533
55,4,Russia,Kazakhstan,0,24,31,2.9132,2.7614,0.1881,0.1543,2,4,3,7,5,7,7,5,10,14,7,5,14,10,2,1,1.0531,0.3087
56,4,France,Austria,0,30,43,3.0253,4.2247,0.2244,0.169,4,2,7,3,8,4,4,8,16,8,4,8,8,16,0,1,0.4526,1.7776
57,4,Germany,Slovakia,0,23,23,2.4981,2.5895,0.1408,0.1553,3,2,5,4,4,3,3,4,8,6,3,4,6,8,1,1,0.2444,0.9206
58,4,Romania,Spain,0,30,23,4.0328,2.2963,0.172,0.1621,4,0,7,0,5,9,9,5,10,18,9,5,18,10,2,0,2.2344,0.428
59,4,Czech Republic,Belgium,0,18,19,2.4251,1.9215,0.1675,0.1998,5,4,6,6,6,6,6,6,12,12,6,6,12,12,0,1,0.6537,0.7239
60,4,Canada,Sweden,0,32,28,3.7547,2.7776,0.2159,0.1697,3,5,5,9,6,7,7,6,12,14,7,6,14,12,1,1,1.2508,0.6646
61,4,Estonia,Netherlands,0,22,31,1.6115,3.2452,0.1251,0.1903,4,3,7,4,5,2,2,5,10,6,2,5,6,10,0,1,0,0.6423
62,5,Austria,Switzerland,0,21,30,2.2497,2.8996,0.2033,0.1494,2,1,3,1,3,5,5,3,6,10,5,3,10,6,1,1,0.8668,0.9599
63,5,Hungary,Russia,0,27,24,3.1903,2.9715,0.2276,0.2278,6,4,10,5,11,8,8,11,22,16,8,11,16,22,3,2,1.2743,1.1358
64,5,Czech Republic,Belarus,0,25,21,2.9768,2.1217,0.1857,0.138,2,4,4,7,8,9,9,8,18,18,9,8,18,18,1,3,0.5945,1.0956
65,5,Slovenia,United States,0,19,25,2.1747,2.5636,0.2286,0.1613,2,1,4,1,4,8,8,4,8,16,8,4,16,8,2,0,0.8742,0.2247
66,5,Estonia,Finland,0,21,29,2.3975,3.4085,0.1576,0.153,0,1,0,2,4,10,10,4,8,20,10,4,20,8,0,0,1.1239,0.9081
67,5,Latvia,France,0,27,25,2.809,2.8869,0.1511,0.1943,3,2,5,4,3,8,8,3,6,16,8,3,16,6,3,0,1.4264,0.7418
68,5,Norway,China,0,37,26,3.6182,2.702,0.2104,0.1458,3,4,5,8,6,6,6,6,12,12,6,6,12,12,0,2,0.5423,0.985
69,5,Ukraine,South Korea,1,34,31,3.6305,3.4631,0.1668,0.2336,3,2,5,4,9,8,8,9,18,16,8,9,16,18,0,2,0.4417,1.4223
70,5,Sweden,Poland,0,19,24,1.8583,2.2227,0.1508,0.1476,0,2,0,2,5,8,8,5,10,16,8,5,16,10,0,1,0.2914,0.6924
71,5,Slovakia,Romania,0,36,32,3.4813,3.4551,0.2088,0.2298,1,4,1,7,4,7,7,4,8,14,7,4,14,8,0,0,1.0995,0.2524
72,5,Italy,Denmark,0,29,27,3.4831,3.0562,0.2103,0.1704,3,2,5,4,2,5,5,2,4,10,5,2,10,4,3,0,1.6536,0.7414
73,5,Japan,Great Britain,0,20,33,1.929,3.8994,0.1642,0.2354,2,3,3,5,11,4,4,11,22,8,4,11,8,22,0,1,0,2.0437
74,5,Lithuania,Croatia,0,32,30,3.696,3.3245,0.1787,0.1672,5,3,10,5,7,8,8,7,14,16,8,7,16,14,2,1,1.3876,0.5826
75,5,Netherlands,Belgium,0,22,20,2.5628,1.6049,0.1796,0.1416,2,1,2,0,3,5,5,3,6,10,5,3,10,6,0,0,1.1329,0
76,5,Germany,Spain,1,33,36,3.9971,4.2133,0.2333,0.1897,3,2,4,4,6,8,8,6,16,16,8,6,16,16,1,1,1.578,1.1829
77,5,Kazakhstan,Canada,0,21,14,2.0354,1.4348,0.1445,0.1771,2,1,4,1,8,5,5,8,16,10,5,8,10,16,0,0,0,0.1315
78,6,United States,Netherlands,0,28,20,2.6279,2.0807,0.1505,0.1683,3,2,6,4,8,3,3,8,18,6,3,8,6,18,2,1,0.7377,0.6943
79,6,Poland,Latvia,1,33,19,3.6321,2.0905,0.2236,0.1516,5,4,8,7,5,9,9,5,10,18,9,5,18,10,2,0,0.9832,0.9377
80,6,Italy,Switzerland,1,30,24,3.0126,2.6724,0.1565,0.1523,1,2,2,4,9,6,6,9,18,12,6,9,12,18,0,1,1.1001,1.2685
81,6,Russia,Belarus,0,21,26,2.4779,3.077,0.1728,0.2112,4,3,8,6,9,8,8,9,18,16,8,9,16,18,0,2,0.8585,1.6435
82,6,Slovenia,Great Britain,0,33,19,3.7183,1.628,0.2221,0.1148,5,1,7,2,1,8,8,1,2,16,8,1,16,2,0,0,1.4319,0.0978
83,6,Finland,Ukraine,0,30,24,3.6781,2.1224,0.2145,0.1411,2,1,3,2,8,9,9,8,16,18,9,8,18,16,1,0,1.5905,0.622
84,6,China,Belgium,0,27,24,3.2091,2.8609,0.1891,0.2299,1,4,2,7,7,5,5,7,14,13,5,7,13,14,0,2,1.2011,1.351
85,6,Romania,South Korea,1,33,27,4.1215,3.0697,0.2288,0.1529,2,1,2,2,7,9,9,7,14,18,9,7,18,14,0,0,1.2097,1.1333
86,6,Estonia,Japan,0,25,22,2.473,2.4622,0.214,0.1985,3,1,4,2,3,7,7,3,6,14,7,3,14,6,1,1,0.5297,0.387
87,6,Norway,Denmark,0,20,26,2.6077,2.9174,0.2378,0.1556,2,1,4,2,6,7,7,6,12,14,7,6,14,12,1,0,0.9514,1.3083
88,6,Sweden,Slovakia,0,32,23,3.7579,1.9511,0.2371,0.138,3,2,2,4,8,4,4,8,16,8,4,8,8,16,1,1,0.9813,0.5056
89,6,Austria,Czech Republic,0,28,37,2.9315,4.4458,0.2022,0.2229,3,6,5,9,10,7,7,10,20,14,7,10,14,20,1,3,1.1209,2.1776
90,6,Canada,Germany,0,23,12,2.8871,1.0903,0.2071,0.1399,4,0,5,0,3,8,8,3,6,19,8,3,19,6,0,0,1.2667,0.1399
91,6,Spain,France,0,25,32,2.1128,4.621,0.1704,0.2518,2,5,3,8,7,2,2,7,17,4,2,7,4,17,0,3,0.3226,2.3865
92,6,Hungary,Lithuania,0,23,21,2.1757,2.3286,0.1535,0.2348,3,5,5,9,6,2,2,6,12,4,2,6,4,12,0,2,0.1403,0.7157
93,6,Kazakhstan,Croatia,0,24,15,2.8289,1.4355,0.1615,0.212,4,0,6,0,2,5,5,2,4,12,5,2,12,4,0,0,0.7828,0.3419
94,7,Czech Republic,Slovenia,0,26,34,3.4001,3.7453,0.1659,0.2312,3,2,6,3,9,6,6,9,18,12,6,9,12,18,1,1,1.6982,1.9583
95,7,Poland,Spain,0,30,27,3.3641,2.8662,0.166,0.2423,2,5,2,10,7,5,5,7,14,10,5,7,10,14,1,2,0.811,1.032
96,7,Romania,Italy,0,27,24,2.8271,2.4896,0.1615,0.1835,3,2,6,2,9,3,3,9,18,6,3,9,6,18,2,0,0.4776,0.4324
97,7,Austria,Slovakia,0,32,30,4.551,1.7907,0.2222,0.1184,4,0,7,0,1,12,12,1,2,24,12,1,24,2,3,0,3.0618,0.4738
98,7,Finland,Denmark,1,28,28,3.4774,3.3015,0.1653,0.1738,4,3,6,5,6,3,3,6,12,6,3,6,6,12,0,1,0.7697,1.3638
99,7,Kazakhstan,Estonia,0,30,22,3.4524,1.9008,0.1787,0.1381,5,1,6,2,5,7,7,5,10,14,7,5,14,10,2,1,1.01,0.8251
100,7,Russia,United States,0,30,27,3.6712,3.024,0.2301,0.2194,4,5,7,10,8,10,10,8,16,20,10,8,20,16,1,5,1.2579,1.5116
101,7,Canada,Great Britain,0,24,22,2.8035,2.3543,0.2272,0.1558,2,4,2,6,4,5,5,4,8,10,5,4,10,8,0,1,0.6817,0.6079
102,7,Ukraine,Belarus,1,41,31,4.0929,3.1363,0.1955,0.2159,4,3,6,5,15,11,11,15,30,22,11,15,22,30,2,0,1.2893,1.3796
103,7,Netherlands,China,0,26,41,2.2586,4.6517,0.1407,0.2079,0,7,0,13,10,6,6,10,23,12,6,10,12,23,0,6,1.0803,1.8761
104,7,Croatia,Switzerland,0,26,29,2.8418,3.2648,0.1498,0.2243,4,3,6,6,7,10,10,7,14,20,10,7,20,14,0,1,0.5294,0.4437
105,7,Norway,Sweden,0,38,25,4.1558,2.5492,0.2308,0.2269,4,3,7,5,6,11,11,6,12,22,11,6,22,12,2,0,2.1544,0.3233
106,7,Hungary,Belgium,0,20,23,2.5737,3.2426,0.2395,0.2282,2,1,1,2,6,3,3,6,12,6,3,6,6,12,1,0,0.8858,0.8734
107,7,Japan,Lithuania,1,19,30,2.0438,3.5524,0.1723,0.2236,2,1,4,2,14,7,7,14,28,14,7,14,14,28,1,0,0.2979,1.7082
108,7,South Korea,France,0,22,24,2.5934,2.9992,0.1753,0.1818,1,2,2,3,6,9,9,6,12,18,9,6,18,12,1,0,1.4046,0.6923
109,8,Norway,United States,0,38,31,4.6931,3.373,0.254,0.1482,4,5,8,8,7,10,10,7,14,20,10,7,20,14,3,2,2.157,0.9547
110,8,Ukraine,China,0,32,29,3.4514,3.0471,0.2296,0.2031,4,5,7,6,8,9,9,8,16,18,9,8,18,16,4,3,1.8869,1.5993
111,8,Poland,Latvia,0,31,31,3.1386,3.9592,0.225,0.2378,2,6,3,10,11,5,5,11,22,13,5,11,13,22,1,1,0.4339,0.9214
112,8,Belarus,Russia,0,28,36,2.4629,3.5258,0.1016,0.2205,1,4,1,4,4,0,0,4,8,0,0,4,0,8,0,1,0,0.5099
113,8,Switzerland,Japan,0,22,22,2.751,2.0599,0.189,0.1202,1,2,2,4,3,5,5,3,6,10,5,3,10,6,1,0,0.7476,0.1202
114,8,Slovenia,Kazakhstan,0,21,15,2.17,1.3413,0.1516,0.1511,2,0,4,0,1,6,6,1,2,12,6,1,12,2,0,0,1.0278,0.0984
115,8,Finland,Sweden,0,30,28,3.4947,3.4216,0.2457,0.2239,1,0,1,0,10,10,10,10,20,20,10,10,20,20,1,0,1.3308,0.4265
116,8,Austria,Italy,0,31,25,3.6718,2.4827,0.2236,0.1971,4,2,8,3,8,9,9,8,19,18,9,8,18,19,1,1,1.3107,1.3664
117,8,Great Britain,Slovakia,0,25,25,3.0484,2.3748,0.1596,0.1366,4,2,5,4,5,6,6,5,10,12,6,5,12,10,1,0,1.0918,0.7995
118,8,South Korea,Canada,1,23,32,2.6863,3.8437,0.1758,0.1592,3,4,5,7,6,1,1,6,12,2,1,6,2,12,1,2,0.3516,1.5031
119,8,Belgium,Hungary,0,26,30,2.8767,3.0986,0.162,0.1541,6,9,12,11,4,7,7,4,8,14,7,4,14,8,3,1,1.2947,0.7315
120,8,Estonia,Lithuania,0,21,20,2.0773,2.092,0.1886,0.1911,3,2,6,4,3,6,6,3,6,12,6,3,12,6,3,1,1.0651,0.4054
121,8,Germany,Denmark,0,19,28,2.0944,3.7019,0.1504,0.2391,0,5,0,10,7,2,2,7,14,4,2,7,4,14,0,3,0.3008,1.7789
122,8,Czech Republic,Romania,0,36,26,5.5778,2.3909,0.2539,0.1571,5,4,7,7,5,12,12,5,10,24,12,5,24,10,5,0,3.4034,0.2826
123,8,Netherlands,France,1,34,25,3.6558,2.5517,0.2239,0.1569,3,2,5,3,3,14,14,3,6,28,14,3,28,6,3,0,1.953,0.4707
124,8,Spain,Croatia,0,29,39,3.045,4.8053,0.1686,0.1997,4,3,6,5,10,5,5,10,20,10,5,10,10,20,0,0,0.4037,0.715
125,9,Romania,Czech Republic,0,28,26,3.1711,3.2011,0.1558,0.2333,3,6,1,9,4,8,8,4,11,16,8,4,16,11,2,2,1.4778,0.7379
126,9,Denmark,Norway,0,17,37,1.8212,4.7506,0.1502,0.2266,3,7,2,6,12,5,5,12,24,10,5,12,10,24,0,5,0.2728,2.7706
127,9,China,Estonia,0,27,25,2.8938,2.0594,0.1346,0.2133,1,4,2,8,3,6,6,3,8,12,6,3,12,8,0,1,1.0257,0.7922
128,9,Kazakhstan,Russia,1,42,40,4.097,4.3952,0.1673,0.2291,5,6,7,9,7,6,6,7,14,12,6,7,12,14,1,2,1.1115,1.5851
129,9,Sweden,Finland,0,25,27,2.7092,2.9556,0.1728,0.158,1,2,2,2,13,7,7,13,26,14,7,13,14,26,0,0,0.3945,1.3966
130,9,France,Hungary,0,26,30,3.3454,3.5941,0.1731,0.2146,3,2,6,3,15,7,7,15,30,14,7,15,14,30,0,1,1.3185,2.2302
131,9,Italy,United States,0,26,26,2.5223,2.9266,0.1508,0.2063,4,0,8,0,5,4,4,5,10,8,4,5,8,10,0,0,0.5818,1.3775
132,9,Switzerland,South Korea,0,32,25,4.4168,2.7782,0.2345,0.1746,5,4,7,6,5,7,7,5,10,14,7,5,14,10,3,2,2.4529,0.4324
133,9,Germany,Latvia,0,34,25,4.3604,3.2683,0.2424,0.2312,3,5,6,9,6,10,10,6,12,20,10,6,20,12,3,2,1.2897,1.5355
134,9,Croatia,Ukraine,1,24,23,2.8584,1.9225,0.2277,0.1233,4,3,6,4,2,9,9,2,4,18,9,2,18,4,1,0,1.1159,0.2408
135,9,Belgium,Slovenia,0,35,26,3.9229,2.3593,0.1722,0.1223,1,2,1,3,2,5,5,2,4,10,5,2,10,4,0,0,0.5954,0
136,9,Slovakia,Belarus,0,26,31,2.2509,3.2625,0.21,0.1468,2,6,2,9,5,6,6,5,10,12,6,5,12,10,2,1,0.7303,0.8806
137,9,Poland,Lithuania,0,16,25,1.6708,2.7207,0.1653,0.1677,1,3,2,6,11,6,6,11,22,12,6,11,12,22,0,1,0.3909,1.0329
138,9,Great Britain,Canada,0,27,32,3.0571,3.7975,0.2212,0.2243,4,5,7,10,8,7,7,8,16,14,7,8,14,16,2,3,1.1665,1.3781
139,9,Austria,Spain,0,33,21,4.012,2.0254,0.2264,0.159,2,3,3,4,6,8,8,6,12,16,8,6,16,12,0,2,0.9624,0.7417
140,9,Japan,Netherlands,1,28,27,3.2652,2.9983,0.1603,0.2133,2,3,0,5,8,7,7,8,24,14,7,8,14,24,1,2,2.0011,1.1403
141,10,Hungary,Czech Republic,1,21,23,1.8622,3.1083,0.1331,0.2276,1,2,0,4,6,2,2,6,14,4,2,6,4,14,0,1,0.3849,1.0265
142,10,Italy,United States,0,28,25,3.1452,2.575,0.2168,0.2245,4,1,6,1,6,13,13,6,14,28,13,6,28,14,3,0,1.8401,0.6912
143,10,Latvia,Sweden,0,25,26,2.7252,2.7602,0.1725,0.1589,3,4,5,5,7,11,11,7,17,22,11,7,22,17,0,1,0.4399,1.6385
144,10,Estonia,Switzerland,0,21,26,2.1599,2.5393,0.2085,0.1311,2,3,3,6,3,5,5,3,6,10,5,3,10,6,1,0,0.6254,0.2537
145,10,Belarus,France,0,30,30,2.7949,3.163,0.153,0.154,1,3,0,2,3,6,6,3,6,12,6,3,12,6,1,1,1.0634,0.568
146,10,Belgium,Spain,0,20,21,2.1752,2.5232,0.225,0.2415,1,3,2,6,2,6,6,2,4,12,6,2,12,4,0,1,0.8524,0.8893
147,10,Slovenia,Norway,0,20,35,2.4907,3.5297,0.223,0.2063,3,6,4,11,9,7,7,9,18,14,7,9,14,18,0,3,1.531,1.549
148,10,China,Germany,0,36,23,4.2935,2.1705,0.1662,0.1554,5,3,10,3,7,11,11,7,14,22,11,7,22,14,4,0,2.1796,0.6108
149,10,Austria,Romania,0,34,34,3.9877,2.4292,0.1684,0.1328,6,2,9,4,4,8,8,4,8,16,8,4,16,8,3,0,1.9751,0.1328
150,10,Kazakhstan,Finland,0,28,33,3.0736,3.9513,0.2169,0.2311,2,3,3,4,9,6,6,9,18,12,6,9,12,18,0,2,0.2152,2.0015
151,10,Great Britain,Croatia,0,21,24,2.9765,2.6001,0.2437,0.215,5,0,9,0,4,7,7,4,8,14,7,4,14,8,2,0,1.2393,0.9129
152,10,Poland,Canada,0,23,20,2.6682,1.9947,0.1834,0.2144,2,3,4,6,2,5,5,2,4,10,5,2,10,4,0,2,0.493,0.3528
153,10,South Korea,Japan,0,27,34,3.2778,3.751,0.1612,0.1679,2,0,4,0,3,6,6,3,6,12,6,3,12,6,0,0,1.4078,0
154,10,Denmark,Netherlands,0,14,31,1.4814,3.3817,0.154,0.1654,2,6,3,10,8,4,4,8,16,8,4,8,8,16,0,3,0.306,1.3617
155,10,Slovakia,Russia,0,35,32,2.9834,3.5492,0.1466,0.1574,1,2,1,4,7,7,7,7,14,17,7,7,17,14,0,0,0,0.5823
156,10,Ukraine,Lithuania,0,18,24,1.7052,2.6894,0.1346,0.2185,0,2,0,4,6,5,5,6,12,10,5,6,10,12,0,2,0.7371,1.557
157,11,Latvia,Slovenia,0,29,24,3.3622,2.0683,0.1588,0.1505,4,1,5,2,4,4,4,4,8,8,4,4,8,8,2,1,1.0933,0.6937
158,11,Switzerland,China,0,25,29,2.3729,2.7426,0.1461,0.1426,4,0,7,0,5,2,2,5,10,4,2,5,4,10,1,0,0.6282,0.7308
159,11,Sweden,United States,1,29,24,2.8487,2.2127,0.1747,0.2111,4,3,5,6,5,9,9,5,10,20,9,5,20,10,0,0,0.5199,0.3794
160,11,Netherlands,Russia,0,26,22,2.4453,2.0307,0.2084,0.1789,2,1,4,2,4,4,4,4,10,8,4,4,8,10,1,0,0.3459,0.1466
161,11,Great Britain,Finland,0,26,22,3.2525,2.4871,0.1769,0.1629,3,4,6,6,4,3,3,4,10,6,3,4,6,10,1,1,0.6284,0.8106
162,11,Canada,Belarus,0,25,31,2.5682,3.7757,0.1481,0.2267,2,4,4,5,6,6,6,6,12,12,6,6,12,12,1,0,0.5896,2.1471
163,11,Austria,Italy,0,27,32,3.1436,2.2884,0.2189,0.1447,3,2,4,4,4,9,9,4,10,18,9,4,18,10,2,1,1.5028,0.3578
164,11,Denmark,Romania,0,33,33,3.9229,3.9954,0.229,0.2249,3,7,5,10,6,6,6,6,12,12,6,6,12,12,1,5,1.2108,1.5904
165,11,France,Poland,0,28,28,4.1721,2.5872,0.2558,0.1651,2,1,3,2,5,10,10,5,10,20,10,5,20,10,2,0,1.6832,0.6142
166,11,Norway,Estonia,0,23,33,2.2328,3.4256,0.1325,0.209,3,7,4,10,8,1,1,8,16,2,1,8,2,16,0,1,0,1.0143
167,11,Croatia,South Korea,0,28,28,3.5366,3.3006,0.1657,0.1626,5,3,6,5,5,6,6,5,10,12,6,5,12,10,2,1,1.7365,0.8917
168,11,Czech Republic,Japan,0,32,26,3.6693,2.904,0.1546,0.204,5,1,7,2,8,4,4,8,18,8,4,8,8,18,1,0,1.1868,1.5714
